date_time,messwert_kwh
2016-01-01 00:15:00,283.124
2016-01-01 00:30:00,313.424
2016-01-01 00:45:00,303.216
2016-01-01 01:00:00,318.524
2016-01-01 01:15:00,318.816
2016-01-01 01:30:00,292.124
2016-01-01 01:45:00,303.824
2016-01-01 02:00:00,289.724
2016-01-01 02:15:00,307.716
2016-01-01 02:30:00,321.824
2016-01-01 02:45:00,1107.22
2016-01-01 03:00:00,1278.52
2016-01-01 03:15:00,339.216
2016-01-01 03:30:00,296.024
2016-01-01 03:45:00,291.816
2016-01-01 04:00:00,236.324
2016-01-01 04:15:00,574.424
2016-01-01 04:30:00,520.124
2016-01-01 04:45:00,324.216
2016-01-01 05:00:00,323.024
2016-01-01 05:15:00,343.124
2016-01-01 05:30:00,350.924
2016-01-01 05:45:00,363.816
2016-01-01 06:00:00,415.424
2016-01-01 06:15:00,443.916
2016-01-01 06:30:00,430.424
2016-01-01 06:45:00,458.316
2016-01-01 07:00:00,443.924
2016-01-01 07:15:00,459.816
2016-01-01 07:30:00,470.324
2016-01-01 07:45:00,490.724
2016-01-01 08:00:00,485.316
2016-01-01 08:15:00,490.416
2016-01-01 08:30:00,439.124
2016-01-01 08:45:00,363.516
2016-01-01 09:00:00,352.822
2016-01-01 09:15:00,333.285
2016-01-01 09:30:00,329.673
2016-01-01 09:45:00,320.851
2016-01-01 10:00:00,315.916
2016-01-01 10:15:00,325.498
2016-01-01 10:30:00,323.038
2016-01-01 10:45:00,335.996
2016-01-01 11:00:00,365.024
2016-01-01 11:15:00,365.878
2016-01-01 11:30:00,351.253
2016-01-01 11:45:00,337.165
2016-01-01 12:00:00,348.784
2016-01-01 12:15:00,350.671
2016-01-01 12:30:00,327.335
2016-01-01 12:45:00,360.94
2016-01-01 13:00:00,361.152
2016-01-01 13:15:00,343.804
2016-01-01 13:30:00,346.801
2016-01-01 13:45:00,332.962
2016-01-01 14:00:00,312.947
2016-01-01 14:15:00,325.881
2016-01-01 14:30:00,346.202
2016-01-01 14:45:00,346.568
2016-01-01 15:00:00,329.861
2016-01-01 15:15:00,331.029
2016-01-01 15:30:00,343.683
2016-01-01 15:45:00,329.038
2016-01-01 16:00:00,334.312
2016-01-01 16:15:00,751.764
2016-01-01 16:30:00,682.416
2016-01-01 16:45:00,458.324
2016-01-01 17:00:00,445.716
2016-01-01 17:15:00,461.924
2016-01-01 17:30:00,448.116
2016-01-01 17:45:00,462.824
2016-01-01 18:00:00,466.416
2016-01-01 18:15:00,438.824
2016-01-01 18:30:00,439.116
2016-01-01 18:45:00,453.524
2016-01-01 19:00:00,427.116
2016-01-01 19:15:00,433.099
2016-01-01 19:30:00,453.499
2016-01-01 19:45:00,438.808
2016-01-01 20:00:00,421.408
2016-01-01 20:15:00,428.024
2016-01-01 20:30:00,417.516
2016-01-01 20:45:00,420.224
2016-01-01 21:00:00,416.916
2016-01-01 21:15:00,416.624
2016-01-01 21:30:00,411.216
2016-01-01 21:45:00,424.424
2016-01-01 22:00:00,409.724
2016-01-01 22:15:00,384.524
2016-01-01 22:30:00,404.016
2016-01-01 22:45:00,407.924
2016-01-01 23:00:00,377.624
2016-01-01 23:15:00,318.824
2016-01-01 23:30:00,296.324
2016-01-01 23:45:00,300.216
2016-01-02 00:00:00,311.924
2016-01-02 00:15:00,307.124
2016-01-02 00:30:00,284.924
2016-01-02 00:45:00,305.316
2016-01-02 01:00:00,296.924
2016-01-02 01:15:00,656.324
2016-01-02 01:30:00,696.516
2016-01-02 01:45:00,314.924
2016-01-02 02:00:00,296.924
2016-01-02 02:15:00,287.624
2016-01-02 02:30:00,323.924
2016-01-02 02:45:00,310.424
2016-01-02 03:00:00,291.224
2016-01-02 03:15:00,317.616
2016-01-02 03:30:00,306.524
2016-01-02 03:45:00,302.624
2016-01-02 04:00:00,294.824
2016-01-02 04:15:00,323.024
2016-01-02 04:30:00,326.916
2016-01-02 04:45:00,336.524
2016-01-02 05:00:00,349.424
2016-01-02 05:15:00,355.724
2016-01-02 05:30:00,389.624
2016-01-02 05:45:00,419.024
2016-01-02 06:00:00,437.016
2016-01-02 06:15:00,494.024
2016-01-02 06:30:00,641.316
2016-01-02 06:45:00,703.724
2016-01-02 07:00:00,680.024
2016-01-02 07:15:00,746.016
2016-01-02 07:30:00,754.424
2016-01-02 07:45:00,764.324
2016-01-02 08:00:00,543.824
2016-01-02 08:15:00,510.816
2016-01-02 08:30:00,560.924
2016-01-02 08:45:00,492.816
2016-01-02 09:00:00,336.524
2016-01-02 09:15:00,387.224
2016-01-02 09:30:00,363.324
2016-01-02 09:45:00,306.711
2016-01-02 10:00:00,312.509
2016-01-02 10:15:00,332.726
2016-01-02 10:30:00,310.418
2016-01-02 10:45:00,284.697
2016-01-02 11:00:00,313.526
2016-01-02 11:15:00,309.986
2016-01-02 11:30:00,300.724
2016-01-02 11:45:00,317.012
2016-01-02 12:00:00,359.884
2016-01-02 12:15:00,359.514
2016-01-02 12:30:00,364.363
2016-01-02 12:45:00,316.867
2016-01-02 13:00:00,309.936
2016-01-02 13:15:00,281.077
2016-01-02 13:30:00,251.716
2016-01-02 13:45:00,254.92
2016-01-02 14:00:00,372.632
2016-01-02 14:15:00,445.222
2016-01-02 14:30:00,439.138
2016-01-02 14:45:00,425.059
2016-01-02 15:00:00,427.03
2016-01-02 15:15:00,435.362
2016-01-02 15:30:00,392.664
2016-01-02 15:45:00,416.364
2016-01-02 16:00:00,448.724
2016-01-02 16:15:00,638.316
2016-01-02 16:30:00,641.324
2016-01-02 16:45:00,566.316
2016-01-02 17:00:00,521.324
2016-01-02 17:15:00,470.024
2016-01-02 17:30:00,402.824
2016-01-02 17:45:00,461.916
2016-01-02 18:00:00,461.024
2016-01-02 18:15:00,437.324
2016-01-02 18:30:00,453.216
2016-01-02 18:45:00,445.724
2016-01-02 19:00:00,434.624
2016-01-02 19:15:00,443.924
2016-01-02 19:30:00,423.824
2016-01-02 19:45:00,492.824
2016-01-02 20:00:00,567.833
2016-01-02 20:15:00,535.724
2016-01-02 20:30:00,546.524
2016-01-02 20:45:00,455.324
2016-01-02 21:00:00,420.824
2016-01-02 21:15:00,409.433
2016-01-02 21:30:00,420.824
2016-01-02 21:45:00,396.224
2016-01-02 22:00:00,337.724
2016-01-02 22:15:00,274.733
2016-01-02 22:30:00,290.324
2016-01-02 22:45:00,291.833
2016-01-02 23:00:00,310.424
2016-01-02 23:15:00,267.233
2016-01-02 23:30:00,371.924
2016-01-02 23:45:00,400.733
2016-01-03 00:00:00,383.616
2016-01-03 00:15:00,386.933
2016-01-03 00:30:00,403.724
2016-01-03 00:45:00,442.424
2016-01-03 01:00:00,484.433
2016-01-03 01:15:00,458.024
2016-01-03 01:30:00,454.433
2016-01-03 01:45:00,463.124
2016-01-03 02:00:00,437.924
2016-01-03 02:15:00,443.333
2016-01-03 02:30:00,452.624
2016-01-03 02:45:00,444.533
2016-01-03 03:00:00,431.924
2016-01-03 03:15:00,458.033
2016-01-03 03:30:00,436.424
2016-01-03 03:45:00,426.533
2016-01-03 04:00:00,405.824
2016-01-03 04:15:00,366.224
2016-01-03 04:30:00,314.033
2016-01-03 04:45:00,288.524
2016-01-03 05:00:00,291.533
2016-01-03 05:15:00,293.924
2016-01-03 05:30:00,361.724
2016-01-03 05:45:00,390.233
2016-01-03 06:00:00,442.724
2016-01-03 06:15:00,472.724
2016-01-03 06:30:00,578.624
2016-01-03 06:45:00,596.633
2016-01-03 07:00:00,611.624
2016-01-03 07:15:00,573.824
2016-01-03 07:30:00,569.024
2016-01-03 07:45:00,561.533
2016-01-03 08:00:00,587.024
2016-01-03 08:15:00,570.824
2016-01-03 08:30:00,564.233
2016-01-03 08:45:00,481.124
2016-01-03 09:00:00,444.234
2016-01-03 09:15:00,439.562
2016-01-03 09:30:00,427.379
2016-01-03 09:45:00,414.703
2016-01-03 10:00:00,405.999
2016-01-03 10:15:00,442.076
2016-01-03 10:30:00,434.857
2016-01-03 10:45:00,404.42
2016-01-03 11:00:00,422.536
2016-01-03 11:15:00,396.781
2016-01-03 11:30:00,378.106
2016-01-03 11:45:00,369.106
2016-01-03 12:00:00,382.348
2016-01-03 12:15:00,294.479
2016-01-03 12:30:00,257.967
2016-01-03 12:45:00,304.621
2016-01-03 13:00:00,330.5
2016-01-03 13:15:00,298.945
2016-01-03 13:30:00,201.822
2016-01-03 13:45:00,257.461
2016-01-03 14:00:00,266.875
2016-01-03 14:15:00,284.904
2016-01-03 14:30:00,356.479
2016-01-03 14:45:00,432.801
2016-01-03 15:00:00,402.995
2016-01-03 15:15:00,410.697
2016-01-03 15:30:00,408.789
2016-01-03 15:45:00,377.121
2016-01-03 16:00:00,412.444
2016-01-03 16:15:00,496.124
2016-01-03 16:30:00,594.533
2016-01-03 16:45:00,610.424
2016-01-03 17:00:00,515.924
2016-01-03 17:15:00,508.124
2016-01-03 17:30:00,512.933
2016-01-03 17:45:00,516.824
2016-01-03 18:00:00,527.324
2016-01-03 18:15:00,521.924
2016-01-03 18:30:00,497.924
2016-01-03 18:45:00,484.133
2016-01-03 19:00:00,500.624
2016-01-03 19:15:00,491.024
2016-01-03 19:30:00,494.624
2016-01-03 19:45:00,433.433
2016-01-03 20:00:00,453.224
2016-01-03 20:15:00,446.924
2016-01-03 20:30:00,425.033
2016-01-03 20:45:00,446.924
2016-01-03 21:00:00,480.533
2016-01-03 21:15:00,498.524
2016-01-03 21:30:00,416.624
2016-01-03 21:45:00,407.624
2016-01-03 22:00:00,443.033
2016-01-03 22:15:00,435.224
2016-01-03 22:30:00,578.933
2016-01-03 22:45:00,672.824
2016-01-03 23:00:00,660.524
2016-01-03 23:15:00,699.533
2016-01-03 23:30:00,728.324
2016-01-03 23:45:00,729.833
2016-01-04 00:00:00,725.924
2016-01-04 00:15:00,747.224
2016-01-04 00:30:00,761.324
2016-01-04 00:45:00,736.433
2016-01-04 01:00:00,775.124
2016-01-04 01:15:00,770.024
2016-01-04 01:30:00,741.824
2016-01-04 01:45:00,727.133
2016-01-04 02:00:00,785.324
2016-01-04 02:15:00,760.433
2016-01-04 02:30:00,739.124
2016-01-04 02:45:00,730.124
2016-01-04 03:00:00,773.324
2016-01-04 03:15:00,748.733
2016-01-04 03:30:00,742.424
2016-01-04 03:45:00,663.824
2016-01-04 04:00:00,641.333
2016-01-04 04:15:00,685.724
2016-01-04 04:30:00,679.424
2016-01-04 04:45:00,656.308
2016-01-04 05:00:00,604.416
2016-01-04 05:15:00,673.716
2016-01-04 05:30:00,699.208
2016-01-04 05:45:00,741.516
2016-01-04 06:00:00,904.416
2016-01-04 06:15:00,1241.32
2016-01-04 06:30:00,1424.32
2016-01-04 06:45:00,1549.12
2016-01-04 07:00:00,1682.91
2016-01-04 07:15:00,1852.7
2016-01-04 07:30:00,1920.8
2016-01-04 07:45:00,2055.19
2016-01-04 08:00:00,2183.3
2016-01-04 08:15:00,2234.57
2016-01-04 08:30:00,2256.17
2016-01-04 08:45:00,2146.97
2016-01-04 09:00:00,2146.69
2016-01-04 09:15:00,2102.75
2016-01-04 09:30:00,2133.11
2016-01-04 09:45:00,2211.69
2016-01-04 10:00:00,2257.6
2016-01-04 10:15:00,2241.08
2016-01-04 10:30:00,2249.3
2016-01-04 10:45:00,2258.81
2016-01-04 11:00:00,2212.82
2016-01-04 11:15:00,2187.35
2016-01-04 11:30:00,2236.98
2016-01-04 11:45:00,2229.52
2016-01-04 12:00:00,2166.26
2016-01-04 12:15:00,2125.32
2016-01-04 12:30:00,2156.88
2016-01-04 12:45:00,2165.95
2016-01-04 13:00:00,2088.96
2016-01-04 13:15:00,1998.87
2016-01-04 13:30:00,1863.14
2016-01-04 13:45:00,1882.37
2016-01-04 14:00:00,1896.17
2016-01-04 14:15:00,1899.94
2016-01-04 14:30:00,2029.23
2016-01-04 14:45:00,1941.74
2016-01-04 15:00:00,1948.39
2016-01-04 15:15:00,1927.22
2016-01-04 15:30:00,1976.88
2016-01-04 15:45:00,1954.03
2016-01-04 16:00:00,1975.14
2016-01-04 16:15:00,1913.55
2016-01-04 16:30:00,1962.76
2016-01-04 16:45:00,2084.55
2016-01-04 17:00:00,2107.67
2016-01-04 17:15:00,2134.35
2016-01-04 17:30:00,1880.26
2016-01-04 17:45:00,1888.07
2016-01-04 18:00:00,1872.17
2016-01-04 18:15:00,1785.77
2016-01-04 18:30:00,1788.18
2016-01-04 18:45:00,1786.08
2016-01-04 19:00:00,1729.98
2016-01-04 19:15:00,1672.09
2016-01-04 19:30:00,1636.7
2016-01-04 19:45:00,1649.0
2016-01-04 20:00:00,1625.89
2016-01-04 20:15:00,1604.31
2016-01-04 20:30:00,1593.5
2016-01-04 20:45:00,1568.91
2016-01-04 21:00:00,1490.61
2016-01-04 21:15:00,1406.91
2016-01-04 21:30:00,1349.01
2016-01-04 21:45:00,1255.72
2016-01-04 22:00:00,1211.31
2016-01-04 22:15:00,1153.41
2016-01-04 22:30:00,1190.31
2016-01-04 22:45:00,1196.02
2016-01-04 23:00:00,1229.91
2016-01-04 23:15:00,1127.31
2016-01-04 23:30:00,1103.32
2016-01-04 23:45:00,1062.81
2016-01-05 00:00:00,1015.71
2016-01-05 00:15:00,859.416
2016-01-05 00:30:00,776.608
2016-01-05 00:45:00,788.608
2016-01-05 01:00:00,778.716
2016-01-05 01:15:00,774.208
2016-01-05 01:30:00,761.916
2016-01-05 01:45:00,787.408
2016-01-05 02:00:00,768.508
2016-01-05 02:15:00,768.208
2016-01-05 02:30:00,771.816
2016-01-05 02:45:00,827.908
2016-01-05 03:00:00,783.208
2016-01-05 03:15:00,770.916
2016-01-05 03:30:00,658.708
2016-01-05 03:45:00,639.816
2016-01-05 04:00:00,643.108
2016-01-05 04:15:00,776.008
2016-01-05 04:30:00,833.908
2016-01-05 04:45:00,834.199
2016-01-05 05:00:00,835.399
2016-01-05 05:15:00,848.008
2016-01-05 05:30:00,835.999
2016-01-05 05:45:00,895.716
2016-01-05 06:00:00,1025.61
2016-01-05 06:15:00,1233.21
2016-01-05 06:30:00,1500.51
2016-01-05 06:45:00,1714.4
2016-01-05 07:00:00,1827.22
2016-01-05 07:15:00,2068.1
2016-01-05 07:30:00,2234.31
2016-01-05 07:45:00,2290.7
2016-01-05 08:00:00,2380.08
2016-01-05 08:15:00,2454.76
2016-01-05 08:30:00,2538.76
2016-01-05 08:45:00,2457.44
2016-01-05 09:00:00,2325.74
2016-01-05 09:15:00,2244.84
2016-01-05 09:30:00,2340.68
2016-01-05 09:45:00,2388.81
2016-01-05 10:00:00,2411.51
2016-01-05 10:15:00,2364.2
2016-01-05 10:30:00,2301.82
2016-01-05 10:45:00,2282.47
2016-01-05 11:00:00,2261.77
2016-01-05 11:15:00,2335.74
2016-01-05 11:30:00,2404.4
2016-01-05 11:45:00,2408.96
2016-01-05 12:00:00,2362.22
2016-01-05 12:15:00,2245.66
2016-01-05 12:30:00,2254.44
2016-01-05 12:45:00,2284.94
2016-01-05 13:00:00,2280.57
2016-01-05 13:15:00,2247.64
2016-01-05 13:30:00,2165.07
2016-01-05 13:45:00,2167.53
2016-01-05 14:00:00,2142.78
2016-01-05 14:15:00,2180.6
2016-01-05 14:30:00,2269.78
2016-01-05 14:45:00,2298.33
2016-01-05 15:00:00,2289.43
2016-01-05 15:15:00,2251.52
2016-01-05 15:30:00,2273.56
2016-01-05 15:45:00,2191.82
2016-01-05 16:00:00,2178.47
2016-01-05 16:15:00,2146.05
2016-01-05 16:30:00,2120.84
2016-01-05 16:45:00,2213.56
2016-01-05 17:00:00,2113.37
2016-01-05 17:15:00,2020.07
2016-01-05 17:30:00,1996.97
2016-01-05 17:45:00,2007.49
2016-01-05 18:00:00,1968.18
2016-01-05 18:15:00,1927.7
2016-01-05 18:30:00,1899.79
2016-01-05 18:45:00,1880.91
2016-01-05 19:00:00,1885.11
2016-01-05 19:15:00,1864.42
2016-01-05 19:30:00,1823.31
2016-01-05 19:45:00,1699.71
2016-01-05 20:00:00,1689.22
2016-01-05 20:15:00,1650.51
2016-01-05 20:30:00,1652.01
2016-01-05 20:45:00,1602.22
2016-01-05 21:00:00,1563.81
2016-01-05 21:15:00,1547.01
2016-01-05 21:30:00,1488.82
2016-01-05 21:45:00,1476.81
2016-01-05 22:00:00,1460.02
2016-01-05 22:15:00,1368.52
2016-01-05 22:30:00,1233.81
2016-01-05 22:45:00,1192.72
2016-01-05 23:00:00,1185.82
